team,avg_shots_on_goal,corsi,fenwick,corsi_%,fenwick_%,o_zone_faceoff_%,d_zone_faceoff_%,n_zone_faceoff_%
TBL,29.4390243902439,60.48780487804878,43.073170731707314,0.5093971449111636,0.5082745718808461,0.5028119604074871,0.5182048803474106,0.5421743774363739
PIT,33.0,65.6829268292683,47.170731707317074,0.5151602104256336,0.5092153765139548,0.5672355642240449,0.5555273480808338,0.5072063243700126
VGK,31.23170731707317,60.96341463414634,43.5,0.4880406131016304,0.49541666666666667,0.5224104972735635,0.5045205922291095,0.4800537776221402
CAR,33.646341463414636,71.3780487804878,51.09756097560975,0.5922290802387938,0.5821061405946096,0.523630061544835,0.5310580348591778,0.5265310636650786
TOR,32.81707317073171,64.28048780487805,46.78048780487805,0.5082441423199305,0.512217919615436,0.5506932563675137,0.5242498538597978,0.530044966728684
BOS,29.548780487804876,56.548780487804876,41.58536585365854,0.4751024590163934,0.4792691496837667,0.4683620888242872,0.5283097523749052,0.48859730393093326
CGY,31.536585365853657,64.3048780487805,46.18292682926829,0.5120411730433094,0.5164325651165962,0.5024405607355149,0.5035949585511085,0.478200367236484
LAK,32.21951219512195,63.71951219512195,46.78048780487805,0.5252312022517089,0.532555879494655,0.4903553472115802,0.49254234289679677,0.5347722261980903
VAN,28.463414634146343,59.073170731707314,42.48780487804878,0.5122131754256106,0.5088359865634584,0.5383092079409268,0.5215871341981063,0.5018839727659686
BUF,31.048780487804876,60.207317073170735,43.926829268292686,0.5038269211143994,0.502370990237099,0.4452752577896571,0.46670500422614847,0.43755361844729806
CBJ,30.134146341463413,61.81707317073171,43.84146341463415,0.4781173363516318,0.472715318869165,0.45975083542627887,0.47233477780979516,0.48733364153047726
NJD,30.74390243902439,62.6219512195122,43.91463414634146,0.5191588312607421,0.5051907968574635,0.5191636492234897,0.5591302199722358,0.5199183146074613
DAL,31.829268292682926,64.96341463414635,46.63414634146341,0.5277392510402219,0.526431718061674,0.5378806043122951,0.5213912421595087,0.5653283119586647
MIN,30.365853658536587,61.31707317073171,44.23170731707317,0.5035049068696175,0.5062814070351759,0.4825827488108047,0.4635837543593076,0.47365499145665435
NSH,32.30487804878049,63.58536585365854,46.21951219512195,0.5196332469603349,0.5214639515685195,0.5024832638220003,0.49899223831015926,0.5125857320167833
SJS,25.5,53.6219512195122,37.829268292682926,0.42889192352711664,0.42365473914231083,0.5040188876334551,0.47832015370072695,0.49215497234056677
WSH,26.817073170731707,56.170731707317074,39.670731707317074,0.46544058205335487,0.464647907441794,0.4566706879618063,0.46447638299850785,0.47518367050767274
OTT,31.878048780487806,63.4390243902439,46.03658536585366,0.5146418678274634,0.522780778285556,0.49589195916252643,0.5255353579851756,0.5087771177944207
WPG,30.378048780487806,59.829268292682926,43.853658536585364,0.5029215786776012,0.5058376705584471,0.4762973870277235,0.487755010908297,0.4606157655174937
DET,29.085365853658537,57.21951219512195,41.47560975609756,0.46747035966922384,0.46742715777899946,0.5209178700361724,0.49256030929644257,0.5014762760336817
MTL,28.146341463414632,55.90243902439025,40.573170731707314,0.45060454143320555,0.4550677061961428,0.4994400661108832,0.5335873783129287,0.5089916885268162
NYI,30.365853658536587,59.08536585365854,43.28048780487805,0.4663586485706035,0.47830188679245284,0.5123486871662709,0.510703354874645,0.5240985874748056
STL,29.121951219512194,55.78048780487805,41.36585365853659,0.46917632577700275,0.4697410330979089,0.49643815518503004,0.5023845848667778,0.4999479885698076
EDM,33.86585365853659,65.65853658536585,47.91463414634146,0.5464325586115903,0.5453914491948917,0.5425126214690159,0.5348079250400739,0.5193341228710283
ANA,26.841463414634145,52.91463414634146,38.58536585365854,0.4493579121789561,0.4501351543605065,0.46052741331892505,0.4426395856640819,0.4958179820325409
NYR,31.71951219512195,63.26829268292683,46.41463414634146,0.5131045396103254,0.5173304336006525,0.5154963192348255,0.5233403468282273,0.5410456155997319
PHI,33.21951219512195,64.3170731707317,46.9390243902439,0.516400665818075,0.5382463991050203,0.48070570082459807,0.4932898842190862,0.5282521009074208
SEA,28.963414634146343,61.81707317073171,42.8780487804878,0.5098058935934828,0.49597968683876426,0.4828100667215261,0.46478617786455395,0.4688538630626781
FLA,33.90243902439025,68.79268292682927,48.426829268292686,0.5609586316626889,0.546969696969697,0.5129049435322007,0.5198770203590866,0.5000008602409297
COL,33.1219512195122,65.14634146341463,46.78048780487805,0.5255287752090506,0.5219047619047619,0.5044715277704793,0.46345083970913126,0.4654961333880509
ARI,27.804878048780488,56.76829268292683,41.146341463414636,0.475485188968335,0.47090020935101184,0.45544324168952827,0.45155185334936926,0.45097853673402605
CHI,26.341463414634145,52.03658536585366,37.28048780487805,0.4471808845105848,0.4445252290242838,0.4617536975125151,0.45716756351672583,0.4731357284272237
